x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
1.350000000000000000e+02,3.250829999999999692e-02,-1.208189999999999958e-02,4.459019999999999651e-02,1.351180000000000048e+00,-1.052630000000000088e+01
1.360000000000000000e+02,3.306819999999999898e-02,-1.102370000000000086e-02,4.409190000000000331e-02,2.116309999999999913e+00,-1.052630000000000088e+01
1.370000000000000000e+02,3.365130000000000204e-02,-9.583279999999999577e-03,4.323458000000000162e-02,2.880830000000000002e+00,-1.052630000000000088e+01
1.380000000000000000e+02,3.420959999999999973e-02,-8.526449999999999654e-03,4.273604999999999765e-02,2.113659999999999872e+00,-1.052630000000000088e+01
1.390000000000000000e+02,3.479100000000000248e-02,-7.853310000000000499e-03,4.264431000000000471e-02,1.346279999999999921e+00,-1.052630000000000088e+01
1.400000000000000000e+02,3.534879999999999967e-02,-7.563959999999999781e-03,4.291276000000000118e-02,5.787060000000000537e-01,1.052630000000000088e+01
1.410000000000000000e+02,3.592850000000000210e-02,-7.658100000000000150e-03,4.358660000000000312e-02,-1.882840000000000069e-01,1.052630000000000088e+01
1.420000000000000000e+02,3.648350000000000204e-02,-8.135430000000000786e-03,4.461893000000000109e-02,-9.546639999999999571e-01,1.052630000000000088e+01
1.430000000000000000e+02,3.706469999999999904e-02,-8.230100000000000610e-03,4.529479999999999618e-02,-1.893440000000000123e-01,1.052630000000000088e+01
1.440000000000000000e+02,3.761590000000000072e-02,-7.941999999999999407e-03,4.555789999999999840e-02,5.762000000000000455e-01,1.052630000000000088e+01
1.450000000000000000e+02,3.819319999999999660e-02,-7.271030000000000375e-03,4.546422999999999437e-02,1.341960000000000042e+00,-1.052630000000000088e+01
1.460000000000000000e+02,3.874380000000000185e-02,-6.217460000000000174e-03,4.496126000000000289e-02,2.107130000000000170e+00,-1.052630000000000088e+01
1.470000000000000000e+02,3.931930000000000147e-02,-4.781610000000000374e-03,4.410091000000000011e-02,2.871700000000000141e+00,-1.052630000000000088e+01
1.480000000000000000e+02,3.986930000000000335e-02,-3.729350000000000200e-03,4.359865000000000268e-02,2.104530000000000012e+00,-1.052630000000000088e+01
1.490000000000000000e+02,4.044190000000000285e-02,-3.060769999999999984e-03,4.350267000000000023e-02,1.337159999999999904e+00,-1.052630000000000088e+01
1.500000000000000000e+02,4.099119999999999847e-02,-2.775970000000000000e-03,4.376717000000000107e-02,5.695940000000000447e-01,1.052630000000000088e+01
